jid,prompt,summary
795465,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: India and (iii) an inter-State sale.
(53) Following what we have stated above, we are of the opinion that the
decision of the Bombay High Court in 20th Century Finance Corporation Ltd. Vs.
State of Maharashtra (1989) 75 STC, 217 (under appeal) is erroneous, whereas,
we affirm the decision of the Andhra Pradesh High Court in ITC Classics
Finance & Services vs. Commissioner of Commercial Taxes (1995) 97 STC, 330
(under appeal).
(54) For the aforesaid reasons, all the civil appeals, writ petitions and the
transferred case, excepting civil appeal Nos. 6218-23/95, deserve to be
allowed and civil appeal Nos. 6218- 23/95 deserve to be dismissed.
Consequently, we set aside the judgments under appeal excepting in CA
Nos.6218-23/95. All the civil appeals excepting C.A. Nos.6218-23/95, writ
petitions under Article 32, the transferred case and the writ petitions filed
before the High Court are allowed to the extent what we have held in this
judgment and directions issued hereinafter. Civil appeal Nos. 6218-23/1995 are
dismissed. The relevant assessment orders if impugned in these cases are set
aside. We direct the respondents to assess the appellants and the petitioners
for the relevant years involved in these cases only in accordance with the
principles of law laid down in this judgment. There shall be no order as to
costs.


Write a summary of this court judgment.[/INST]","  The Supreme Court of India has delivered a judgment in a batch of civil appeals, writ petitions, and a transferred case, all related to the issue of taxation of inter-State sales. The Court has held that the decision of the Bombay High Court in 20th Century Finance Corporation Ltd. vs. State of Maharashtra is erroneous, while the decision of the Andhra Pradesh High Court in ITC Classics Finance & Services vs. Commissioner of Commercial Taxes is affirmed.

The Court has allowed all the civil appeals, writ petitions, and the transferred case, except for civil appeal Nos. 6218-23/95, and has set aside the judgments under appeal, except for CA Nos. 6218-23/95. The Court has also directed the respondents to assess the appellants and petitioners for the relevant years involved in these cases only in accordance with the principles of law laid down in this judgment.

In summary, the Supreme Court has ruled that inter-State sales are not liable to taxation under the Sales Tax Act, and has set aside the judgments of the Bombay High Court and the assessment orders impugned in these cases, while affirming the decision of the Andhra Pradesh High Court. The Court has also directed the respondents to assess the appellants and petitioners in accordance with the principles of law laid down in this judgment."
31239895,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: in jail since 20.08.2015; he is ready to furnish adequate sureties as per the
satisfaction of the court concerned. She further submits that after rejection
of first bail application, the statement of victim has been recorded by the
Court.
Learned counsel for the complainant as well as State counsel vehemently
opposed the bail application. Learned counsel for the complainant submitted
that the complainant was badly injured and got serious injuries, which is
clear from the statement of the doctor. He submits that in case applicant is
granted bail, he may harm the complainant physically.
Having considered the submission of learned counsel for the parties and
without expressing any opinion as to final merits of the case, this Court is
of the view that applicant deserves bail.
Accordingly, the second bail application is allowed. Let the applicant Prakash
Kumar Jha be released on bail on his executing personal bond and furnishing
two local and reliable sureties of `1,00,000/-, each of the like amount to the
satisfaction of the Magistrate concerned.
However, it is provided that in case it is found that applicant is misusing
the bail, liberty is granted to the prosecution as well as to the State to
file bail cancellation application.
(V.K. Bist, J.) 01.05.2018 Arti


Write a summary of this court judgment.[/INST]","  The court judgment is a ruling on a bail application filed by Prakash Kumar Jha, who has been in jail since August 20, 2015. The applicant has offered to furnish adequate sureties to the court's satisfaction. The victim's statement has been recorded by the court, and the complainant's counsel and state counsel have opposed the bail application, citing concerns that the applicant may harm the complainant physically if released on bail. However, the court, without expressing any opinion on the final merits of the case, has allowed the second bail application and ordered the release of the applicant on personal bond and the furnishing of two local and reliable sureties of `1,00,000 each. The court has also provided that if the applicant misuses the bail, the prosecution or state may file a bail cancellation application. The judgment was delivered by V.K. Bist, J. on May 1, 2018."
139299795,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: expressed by the High Court on this issue, in the absence of any argument or
plea before it. The question whether public interest was involved or not
required a factual adjudication. Since there were no pleadings, the State did
not have an opportunity to indicate its stand. Under the circumstances, we do
not think it appropriate to consider that question for the first time in these
appeals, particularly, when factual adjudication would be necessary.
Coming to the plea relating to repeal of the Notification, it is to be noted
that the Notification dated 1.7.1995 was issued in exercise of powers
conferred under Section 9(1)(a) of the Taxation Act, while the impugned
Notification was issued in exercise of powers conferred under Section 9(1)(6)
of the said Act. It is to be noted that originally Notification was issued
under Section 3 of the said Act and its operation has not been questioned.
That being the position, there was no requirement to issue a fresh
Notification to make the levy. Notification dated 1.7.1995, did not supersede
the original Notification issued under Section 3 of the Taxation Act.
In the result, the appeals are dismissed.
.............J.
(B.N. KIRPAL) .............J.
(K.G. BALAKRISHNAN) .............J.
(ARIJIT PASAYAT) December 3, 2001 31


Write a summary of this court judgment.[/INST]","  The court judgment is a decision made by the High Court in an appeal case. The case revolves around a Notification issued by the State under Section 9(1)(a) of the Taxation Act, which was challenged by the appellants. The court held that the Notification did not supersede the original Notification issued under Section 3 of the Taxation Act, and therefore, there was no requirement to issue a fresh Notification to make the levy. The court also noted that the question of public interest involved in the case required a factual adjudication, which was not possible in the absence of pleadings. Therefore, the court dismissed the appeals."
248715,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: to this Court by way of civil appeal under section 35-L(b) of the Act.
By judgment delivered by this Court today in the case of Commissioner of
Central Excise, Belgaum v. M/s Akay Cosmetics Pvt. Ltd. [Civil Appeal
Nos.3792-3803 of 2000], this Court has partly allowed the department's appeal.
However, the order of remand on the question of ""related person"" during the
period 4/91 to 3/93 has been upheld.
In the present appeal, 11 show-cause notices were issued by the department
calling upon the assessee as to why the deduction in respect of the above
seven items should not be disallowed for the period 4/93 to 6/97. Since the
question of ""related person"" had been remanded to Commissioner (Appeals) by
the tribunal under its earlier order dated 6.1.2000, the dispute on the same
point of ""related person"" for the period 4/93 to 6/97 was also required to be
remanded to the Commissioner (Appeals). In the circumstances, we do not find
any infirmity in the impugned judgment.
Before concluding, we may point out that in the case of Commissioner of
Central Excise, Belgaum v. Akay Cosmetics (P) Limited reported in 2004 (167)
ELT 253(T), it has been held that on and after 1.4.1991, the two entities,
namely M/s Akay Cosmetics (P) Ltd. and M/s Nemaru were not related persons.
For the aforestated reasons, there is no merit in this civil appeal and the
same is accordingly dismissed, with no order as to costs.


Write a summary of this court judgment.[/INST]","  The court judgment is a summary of a civil appeal case involving the Commissioner of Central Excise, Belgaum, and M/s Akay Cosmetics Pvt. Ltd. The case was remanded to the Commissioner (Appeals) to decide the question of ""related person"" for the period 4/93 to 6/97. The court found that there was no infirmity in the impugned judgment and dismissed the civil appeal with no order as to costs. The court also referenced a previous case, Commissioner of Central Excise, Belgaum v. Akay Cosmetics (P) Limited, in which it was held that on and after 1.4.1991, the two entities, M/s Akay Cosmetics (P) Ltd. and M/s Nemaru, were not related persons."
1239673,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: enforced does not arise from a contract to which the unregistered firm is a
party, or is not entered into in connection with the business of the
unregistered firm with a third party, the bar of Section 69(2) will not apply.
In the instant case the contract was entered into with the respondent firm by
the erstwhile proprietor of the concern namely Purushottam. The partnership
firm came into existence later. The amount claimed in the suit were due to the
proprietor Purushottam who carried on his proprietary business in the name and
style of ""Dinesh Paper Mart"". When he entered into partnership with others, he
contributed to the partnership by way of his contribution to the capital, all
the assets and liabilities of his erstwhile proprietary concern. Thus, though
the partnership firm, which was unregistered, became entitled to enforce the
contractual obligation of the defendant firm which it owed to Purushottam, the
contract was not one entered into by the unregistered firm with a third party,
nor was it one entered into by the unregistered firm in the course of its
business dealings with the defendants. So viewed, the bar of Section 69(2)
cannot apply to the suit filed by the Plaintiff  appellants.
We, therefore, allow this appeal with costs and set aside the impugned
judgment and decree of the High Court and restore that of the Third Joint
Civil Judge (Senior Division) Nagpur, in Civil Suit No.52 of 1980 dated
29.4.1987.


Write a summary of this court judgment.[/INST]","  The court judgment allows an appeal and sets aside a previous judgment and decree of a High Court. The case involves a contractual dispute between a registered firm and an unregistered firm. The unregistered firm had entered into a contract with the respondent firm, but the contract was not registered. The court ruled that the bar of Section 69(2) of the Indian Contract Act, which prohibits the enforcement of an unregistered contract, does not apply in this case. The court found that the contract was not entered into by the unregistered firm with a third party, nor was it entered into in the course of its business dealings with the defendants. Therefore, the suit filed by the plaintiff-appellants is allowed, and the impugned judgment and decree of the High Court are set aside, restoring the judgment and decree of the Third Joint Civil Judge (Senior Division) Nagpur."
113963352,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: loss. It is a cheating intended to get an advantage. Jagannath was working as
a clerk with Chunilal Sowcar. He purchased the property in the court auction
on behalf of Chunilal Sowcar. He had, on his own volition, executed the
registered release deed (Exhibit B-1S) in favour of Chunilal Sowcar regarding
the property in dispute. He knew that the appellants had paid the total
decretal amount to his master Chunilal Sowcar. Without disclosing all these
facts, he filed the suit for the partition of the property on the ground that
he had purchased the property on his own behalf and not on behalf of Chunilal
Sowcar. Non-production and even non-mentioning of the release deed at the
trial tantamounts to playing fraud on the court. We do not agree with the
observations of the High Court that the appellants-defendants could have
easily produced the certified registered copy of Exhibit B-15 and non-suited
the plaintiff. A litigant, who approaches the court, is bound to produce all
the documents executed by him which are relevant to the litigation. If he
withholds a vital document in order to gain advantage on the other side then
he would he guilty of playing fraud on the court as well as on the opposite
party.
9\. We, therefore, allow the appeal, set aside the impugned judgment of the
High Court and restore that of the trial court. The appellants shall be
entitled to their costs which we quantify as Rs. 11,000.


Write a summary of this court judgment.[/INST]","  The appellants, defendants in the original suit, had purchased a property in a court auction on behalf of their master, Chunilal Sowcar. However, they filed a suit for partition of the property, claiming that they had purchased it on their own behalf and not on behalf of Chunilal Sowcar. The court found that the appellants had withheld a vital document, a registered release deed, which showed that the property was actually purchased on behalf of Chunilal Sowcar. The court held that this was a case of fraud and that the appellants had intended to deceive the court and gain an advantage. The court allowed the appeal, set aside the judgment of the High Court, and restored the judgment of the trial court. The appellants were also awarded costs of Rs. 11,000."
1878548,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: Scrutiny Committee to verify the same is of no consequence inasmuch as delay
on both the counts does not validate the caste certificate and the consequent
illegal appointment.
17.We are also unable to persuade ourselves to agree with learned counsel for
the employee that in the absence of any finding of fraud having been played by
the employee, the order of the High Court is equitable and should not be
interfered with. As noted above, the selection of the employee was  1 3
conceived in deceit and, therefore, could not be saved by equitable
considerations.
18.In view of the aforegoing discussion, the impugned judgment and order
quashing the order of termination of service of the employee and directing her
reinstatement cannot be sustained. The order of termination based on the
report of the Scrutiny Committee does not suffer from any infirmity and the
High Court should not have interfered with the same.
19.Accordingly, the appeal is allowed, the judgment and order of the High
Court dated 6th April, 2005 is set aside but with no order as to costs.
.................................................J. (C.K. THAKKER)
.................................................J. (D.K. JAIN) NEW DELHI;
JULY 25, 2008.
1 4


Write a summary of this court judgment.[/INST]","  The Supreme Court of India has allowed an appeal against a High Court judgment that had quashed the order of termination of an employee's service and directed her reinstatement. The Supreme Court held that the High Court should not have interfered with the order of termination based on the report of the Scrutiny Committee, as the selection of the employee was conceived in deceit and the delay in verifying the caste certificate did not validate the appointment. The Court further held that the absence of a finding of fraud by the employee did not make the order of the High Court equitable, and that the order of termination did not suffer from any infirmity. The appeal was allowed, the judgment and order of the High Court were set aside, and no order was made as to costs."
314044,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: minded, civilized man on whose judgment both Brandeis J. and Bose J. rely,
would he have found the basis of the classification intelligible ? The
questions answer themselves, the arbitrary character of the differentiation is
so obvious. I do not think it is possible to take the rhetoric of Royappa and
Maneka Gandhi seriously and find that the Act passes the test of
reasonableness.
What I have said above on the Special Bearer Bonds scheme should not be read
as an expression of opinion on the wisdom of the government policy-that the
scheme is not the best in circumstances. My conclusion is based not on what
the policy of the government is but on what the equality elause in Art. 14
requires.
1002
Having held that the Special Bearer Bonds (Immunities and Exemptions)
ordinance, 1981 and the Special Bearer Bonds (Immunities and Exemptions) Act,
1981 are invalid on the ground that they infringe Art. 14 of the Constitution,
I do not find it necessary to consider whether Special Bearer Bonds
(Immunities and Exemptions) ordinance, 1981 is outside the ordinance making
power of the President under Art. 123 of the Constitution.
    N.V.K.				  Petitions dismissed.
    1003


Write a summary of this court judgment.[/INST]","  The court judgment is regarding the validity of the Special Bearer Bonds (Immunities and Exemptions) Ordinance, 1981 and the Special Bearer Bonds (Immunities and Exemptions) Act, 1981. The court held that these laws are invalid as they infringe Article 14 of the Constitution, which deals with the right to equality. The court found that the classification created by the laws is arbitrary and not based on any intelligible differentia, and therefore violates the principle of equality. The court also rejected the government's argument that the scheme is not the best in circumstances, stating that the conclusion is based on what the equality clause in Article 14 requires, not on the wisdom of the government policy. The court dismissed the petitions challenging the validity of the laws."
138192511,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: textbooks, by the defendants is thus different; additionally, in their books,
missing in the plaintiff's works are the steps or process of problem solving.
Thus, the defendants' works can be said to be ‗transformative', amounting to
―review‖ under Section 52 (1) (a) (ii) of the Act. Here, the term ―review‖ has
to be interpreted in the context. The plaintiffs claim to copyright is
premised the work being a ―literary‖ one. The review - or commentary, of a
part of such mathematical work - too would have to be seen in the background
of this claim.
38\. ―Review‖ according to the Shorter Oxford Dictionary (Fifth edition) means
―view, inspect or examine a second time or again..‖ In the context of a
mathematical work a review could involve re-examination or a treatise on the
subject. In that sense, the defendants' revisiting the questions, and
assisting the students to solve then, by providing the ―step by step‖
reasoning prima facie amounts to a review, thus falling within the ―fair
dealing‖ provision of Section 52 (1) (a) (ii) of the Act.
39\. For the above reasons, the interim injunction granted is hereby vacated.
IA No. 9823/2005 and IA No.51/2006 are accordingly disposed off. CS(OS)
1656/2005 List before the Joint Registrar on 22nd October, 2008.
    Dated: 17th September 2008                                  S RAVINDRA BHAT, J
    CS (OS) 1656/2005                                                          Page 27


Write a summary of this court judgment.[/INST]","  This court judgment is regarding a copyright infringement case where the plaintiffs, who are authors of mathematical textbooks, alleged that the defendants, who are also authors of mathematical textbooks, infringed on their copyright by including ""step-by-step"" reasoning in their books. The court found that the defendants' works are ""transformative"" and amount to ""review"" under Section 52 (1) (a) (ii) of the Copyright Act, which allows for fair dealing for the purpose of criticism or review. The court also found that the defendants' revisiting of questions and provision of step-by-step reasoning for students to solve problems amounts to a review, which falls within the fair dealing provision. Therefore, the court vacated the interim injunction granted and disposed of the two applications (IA No. 9823/2005 and IA No.51/2006) accordingly. The case was listed before the Joint Registrar on October 22nd, 2008."
14898186,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: has decided to dispose of the application for cancellation of design on
merits. The learned Counsel appearing for the parties have agreed before this
Court that mere pendency of the application before the Controller should not
be taken as a ground for adjournment of the interlocutory application pending
before the Delhi High Court.
Mr. Saha learned Senior Counsel submits that since the Delhi High Court is in
seisin over the matter, till the suit is disposed of by the Delhi High Court
the proceeding before the Controller may be stayed and the appellant shall not
seek an adjournment of the interlocutory application pending before the Delhi
High Court on the ground of pendency of the cancellation application. The
parties are in agreement that any decision in the suit by the Delhi High Court
would be binding upon the Controller and this Court also is of the same
opinion. Although the Controller is having the jurisdiction to decide the
validity of a design, if  3 challenged but having regard to the fact that a
prior proceeding between the parties touching on the same issue which is
pending before the Delhi High Court, the proceedings before the Controller
shall remain stayed till disposal of the suit.
AID No.6 of 2017, AID No.7 of 2017 and AID No.8 of 2017 stand disposed of. The
order of the Deputy Controller of Patents and Designs, accordingly, set aside.
(SOUMEN SEN, J.) sp/


Write a summary of this court judgment.[/INST]","  This court judgment is regarding a dispute over a design patent. The Delhi High Court has decided to dispose of an application for cancellation of the design on its merits. The parties involved in the case have agreed that the pendency of the application before the Controller should not be a ground for adjournment of an interlocutory application pending before the Delhi High Court. The court has also decided that the proceedings before the Controller should be stayed until the suit is disposed of by the Delhi High Court, and the decision in the suit would be binding on the Controller and this Court. Therefore, the order of the Deputy Controller of Patents and Designs has been set aside."
1165503,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: not to impose any penalty.
13\. As to the other part of the question, namely, whether the penalty in the
instant case was justified or not it appears that nowhere in the earlier
proceedings it was contended by the revenue that in the facts and
circumstances the penalty imposed was justified. The Tribunal has found that
facts were before the Income-tax Officer to support the assessee's case that
it was not in a position to deposit the tax on the basis of the self-
assessment. The officer soon accepted the assessee's request to make a
provisional assessment, and the assessee paid the demand on the basis of such
provisional assessment. The Tribunal has found that in the facts and
circumstances the penalty was not justified, which finding is not challenged
as perverse or based on no evidence.
14\. The revenue all along proceeded on the sole basis that penalty was
imposable in the instant case only by reason of the language of the section
and on no other ground.
15\. In this view of the matter we answer the question referred in the
affirmative and in favour of the assessee.
16\. There will be no order as to costs.
Deb, J.
17\. I agree.


Write a summary of this court judgment.[/INST]","  The court judgment is in favor of the assessee and states that the penalty imposed on the assessee for not depositing tax on the basis of self-assessment was not justified. The Tribunal found that the facts and circumstances of the case supported the assessee's request for a provisional assessment, which was accepted by the Income-tax Officer, and the assessee paid the demand based on that assessment. The court held that the revenue's argument that the penalty was imposable solely based on the language of the section was not valid, and the penalty was not justified in the instant case. The court answered the question referred in the affirmative and in favor of the assessee, and there was no order as to costs."
8919089,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: Learned Counsel has also drawn our attention to a judgment of the Hon'ble
Supreme Court passed in the case of Hridaya Ranjan Prasad Verma Vs State of
Bihar & Another reported in 2000 C Cr. LR (SC) 293 in support of his
contention that in the face of the allegations, an offence under Section 420
and/or the other sections is not made out as there is a civil dispute.
Considering the aforementioned submissions and also the judgment of the
Hon'ble Supreme Court passed in the case of Arnesh Kumar Vs State of Bihar
reported in 2014 (5) Supreme 324 = AIR 2014 SC 2756 and specially paragraph 14
thereof, we are of the view that the Petitioners, in the event of their
arrest, should be enlarged on bail.
Accordingly, we direct that in the event of arrest, the Petitioners shall be
released on bail upon furnishing a bail bond of Rs.10,000/- (Rupees Ten
Thousand only) each with two sureties of the like amount, one of whom must be
local, to the satisfaction of the arresting officer and also subject to the
conditions laid down in sub-section (2) of Section 438 of the Code of Criminal
Procedure, 1973 and on further condition that the Petitioners will both meet
not the Investigating Officer, but the Officer-in-charge of the concerned
police station so that the investigation is not hampered in any way.
The application for anticipatory bail stands allowed.
(TAPEN SEN, J.) (INDRAJIT CHATTERJEE, J.)


Write a summary of this court judgment.[/INST]","  The court judgment is a ruling on an application for anticipatory bail filed by two petitioners who are accused of committing offenses under Section 420 and other sections of the Indian Penal Code. The petitioners argued that the allegations against them are civil in nature and do not constitute a criminal offense. The court, after considering submissions from both sides and relying on previous judgments of the Supreme Court, held that in the event of their arrest, the petitioners should be released on bail. The court directed that the petitioners be released on bail upon furnishing a bail bond of Rs.10,000/- each with two sureties, subject to certain conditions, including meeting with the Officer-in-charge of the concerned police station but not the Investigating Officer, to ensure that the investigation is not hampered. The application for anticipatory bail was allowed."
110813550,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: [7] [8] In its present form the clear and present danger test has been
reformulated to say that:
""The constitutional guarantees of free speech and free press do not permit a
State to forbid or proscribe advocacy of the use of force or of law violation
except where such advocacy is directed to inciting or producing imminent
lawless action and is likely to incite or produce such action.""
Interestingly, the US Courts have gone on to make a further refinement. The
State may ban what is called a ""true threat"".
""'True threats' encompass those statements where the speaker means to
communicate a serious expression of an intent to commit an act of unlawful
violence to a particular individual or group of individuals.""
""The speaker need not actually intend to carry out the threat. Rather, a
prohibition on true threats protects individuals from the fear of violence and
from the disruption that fear engenders, in addition to protecting people from
the possibility that the threatened violence will occur. Intimidation in the
constitutionally proscribable sense of the word is a type of true threat,
where a speaker directs a threat to a person or group of persons with the
intent of placing the victim in fear of bodily harm or death.""
See Virginia v. Black (Supra) and Watts v. United States 22 L. Ed. 2d. 664 at
667


Write a summary of this court judgment.[/INST]","  The judgment excerpt provided is from the case of Brandenburg v. Ohio (1969). The case involved the conviction of a Klansman, Brandenburg, who was charged with violating a state statute that made it illegal to advocate for the use of force or violence to achieve political or social change. The Supreme Court ultimately overturned Brandenburg's conviction, ruling that the First Amendment protects even hate speech, as long as it does not rise to the level of inciting imminent lawless action.

The Court established the ""imminent lawless action test,"" which holds that the government cannot prohibit the advocacy of the use of force or violation of law unless it is directed to inciting or producing imminent lawless action and is likely to incite or produce such action. The Court also recognized the concept of ""true threats,"" which are statements that convey a serious expression of an intent to commit an act of unlawful violence against a particular individual or group, and are prohibited under the First Amendment.

In summary, the Brandenburg decision expanded the protection of free speech under the First Amendment, establishing that even hate speech is protected unless it incites imminent lawless action or constitutes a true threat."
4354,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: shareholders and, that being so, there is no reason to throw on the petitioner
the almost impossible burden of proving that there are other companies which
are in fact precisely and in all particu- lars similarly situated In any
event, the petitioner, in my opinion, may well claim to have discharged the
onus of showing that this company and its shareholders have been singled out
for discriminating treatment by showing that the Act, on the face of it, has
adopted a basis of classifica- tion which, by its very nature, cannot be
exclusively ap- plicable to this company and its shareholders but Which may be
equally appplicable to other companies 940 and their shareholders and has
penalised this particular company and its shareholders, leaving out other
companms and their shareholders who may be equally guilty of the alleged vice
of mismanagement and neglect of the type referred to in the preambles. In my
opinion the legislation in question infringes the fundamental rights of the
petitioner and offends against article 14 of our Constitution. The result,
therefore, is that this petition ought to succeed and the petitioner should
have an order in terms of prayer (3) of the petition with costs.
Petition dismissed.
Agent for the petitioner: M.S.K. Aiyengar. Agent for opposite party Nos. 1 &
2:P.A. Mehta. Agent for opposite party Nos. 3 to 5 and 7 to 10:
> Rajinder Narain.


Write a summary of this court judgment.[/INST]","  The court judgment is in favor of the petitioner, who challenged the constitutionality of a law that penalized their company and shareholders for alleged mismanagement and neglect. The court found that the law violated the petitioner's fundamental rights and Article 14 of the Constitution by singling out their company and shareholders for discriminatory treatment. The court held that the petitioner had discharged the burden of showing that the law was not exclusively applicable to their company and shareholders, but could also apply to other companies and their shareholders who may be equally guilty of the alleged vice. Therefore, the court ordered that the petition should succeed and the petitioner should have an order in terms of prayer (3) of the petition with costs."
54865315,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: and communicate the decision taken to the concerned parties and file a report
of compliance in that regard before the Registrar (Judicial) of this Court by
30.06.2019. The reinstatement of the Appellant in service would depend upon
the outcome of the orders to be passed by the Personal Assistant (NMP) to the
District Collector, Krishnagiri.
7.In the result, the Writ Appeal is allowed, the order dated 06.08.2018 in
W.P. No. 4845 of 2016 is set aside and the Writ Petition is disposed on the
aforesaid terms. No costs” Considering the fact that the instant appeal also
emanates from the order which is the subject matter of challenge in W.A.No.657
of 2019 the very same order would enure to the present Writ Appeal. The Writ
Appeal is therefore disposed of in terms of the Judgement cited supra.
(K.K.SASIDHARAN,J.) (P.T.ASHA, J.) 04 June 2019 Index :: No Speaking Order ::
Yes kan http://www.judis.nic.in  7 To
1.The District Collector Krishnagiri District.
2.The Commissioner Kaveripattinam Panchayat Union Krishnagiri District.
3.The Chairman Kaveripattinam Panchayat Union, Kaveripattinam Krishnagiri
District.
http://www.judis.nic.in  8 K.K.SASIDHARAN,J.
and P.T.ASHA,J.
kan W.A.No.1577 of 2019 04.06.2019 http://www.judis.nic.in


Write a summary of this court judgment.[/INST]","  The court judgment is a writ appeal case (W.A.No.1577 of 2019) decided by the High Court of Judicature at Madras on June 4, 2019. The case revolves around the reinstatement of an appellant in service and the compliance of an order passed by the Personal Assistant (NMP) to the District Collector, Krishnagiri.

The court allows the writ appeal, sets aside the order dated August 6, 2018, in W.P. No. 4845 of 2016, and disposes of the writ petition on the terms specified in the judgment. The court also directs the concerned parties to communicate the decision taken to the appellant and file a report of compliance before the Registrar (Judicial) of the court by June 30, 2019.

The court further states that the reinstatement of the appellant in service would depend on the outcome of the orders to be passed by the Personal Assistant (NMP) to the District Collector, Krishnagiri. The judgment also mentions that the instant appeal emanates from the same order that is the subject matter of challenge in W.A.No.657 of 2019, and therefore, the disposal of the writ appeal is in terms of the judgment cited supra.

The court directs the District Collector, Krishnagiri District, the Commissioner, Kaveripattinam Panchayat Union, Krishnagiri District, and the Chairman, Kaveripattinam Panchayat Union, Kaveripattinam, Krishnagiri District to comply with the order."
7926018,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: is misconceived. Whether the information is of such nature as defined in
Section 8(1)(d) of the Act, can be adjudicated only by recourse to Section 11
of the Act.
18\. We however do not deem it necessary to adjudicate on the proviso after
Section 8(1)(j) of the Act and leave the same to be adjudicated in an
appropriate proceedings. We may however notice that a Division Bench of the
Bombay High Court in Surupsingh Hrya Naik Vs. State of Maharashtra AIR 2007
Bombay 121 has held that the proviso has been placed after Section 8(1)(j) and
would have to be so interpreted in that context and the proviso applies only
to Section 8(1)(j) and not to other sub- sections.
LPA No.900/2010 Page 12 of 13
19\. The appeal is therefore partly allowed. The matter is remanded back to
the CIC. If the respondent is still desirous of the information sought, the
CIC shall issue notice to the parties whose bids are evaluated in the
evaluation process information qua which is sought by the respondent and
decide the request of the respondent after following the procedure under
Section 11 of the Act.
No order as to costs.
RAJIV SAHAI ENDLAW, J ACTING CHIEF JUSTICE MARCH 23, 2012 „gsr‟..
LPA No.900/2010 Page 13 of 13


Write a summary of this court judgment.[/INST]","  The judgment is a partial allowance of an appeal against a decision of the Central Information Commission (CIC) regarding a request for information under the Right to Information Act, 2005. The appellant had sought information related to the evaluation process of bids for a project, which was denied by the CIC citing Section 8(1)(d) of the Act. The court held that whether the information is of the nature defined in Section 8(1)(d) can only be adjudicated through Section 11 of the Act, and therefore remanded the matter back to the CIC to issue notice to the parties involved in the evaluation process and decide the request after following the procedure under Section 11. The court also noted that a Division Bench of the Bombay High Court had held that the proviso to Section 8(1)(j) applies only to that sub-section and not to other sub-sections. The appeal was partly allowed, with no order as to costs."
174974,"[INST]You are given a part of a court judgment along with which case it belongs to. You are a legal expert.


### Judgment Excerpt: Ministers should do in a particular event. The Central Government which
advises the President is the best Judge of facts to decide as to what course
should be adopted in a particular case, namely, whether the Legis- lative
Assembly should be prorogued or should be dissolved and it is open to the
President to take any of these two actions and if he prefers one to the other,
this matter is beyond judicial review. For these reasons, therefore, I am
clearly of the opinion that Art. 356 does not contain any express or implied
limitations on the nature or functions of the Governor which are to be
exercised by the President under Art. 356(1) (a)..
I generally agree with my Lord the Chief Justice on the other points lucidly
discussed by him, except with regard to his observations regarding the theory
of the basic structure of the Constitution on which I would refrain from
expressing any opinion, because the question does not actually arise for
decision in this Case.
These are my reasons in-support of the unanimous order passed by this Court on
April 29, 1977 dismissing the suits and writ petitions and rejecting the
prayers for injunctions and interim reliefs.
There will be no order as to costs.
    S.R.		     (Suits & Petitions dismissed).
    125


Write a summary of this court judgment.[/INST]","  The judgment is in regards to a case where the legality of the President's decision to prorogue or dissolve the Legislative Assembly was questioned. The court ruled that the President, advised by the Central Government, is the best judge of facts in such cases and has the authority to decide whether to prorogue or dissolve the Assembly. The court also stated that this decision is not subject to judicial review. The Governor's functions, exercised by the President under Article 356(1)(a), do not have any express or implied limitations. The court dismissed the suits and writ petitions and rejected the prayers for injunctions and interim reliefs, with no order as to costs."
